gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
-0.004215720724161637,"[(0, 7); (1, 55); (2, 8576)]",0.7000000000000001,-0.18,-0.91,0.79,-0.36,-0.9400000000000001,-0.05,4,10,3
0,"[(1, 47); (2, 8591)]",0.71,-0.3,-0.86,0.62,-0.09,-0.65,-0.04,2,50,16
-0.06243281643877473,"[(0, 17); (1, 20); (2, 8601)]",0.86,-0.14,-1,0.6,-0.08,-0.85,-0.1,1,10,3
-0.29570269650905195,"[(0, 13); (1, 52); (2, 8573)]",0.6,-0.3,-1,0.77,-0.72,-0.9,-0.07,1,10,3
0,"[(1, 7); (2, 8631)]",0.64,-0.13,-0.76,0.67,-0.19,-0.85,-0.01,1,20,6
0,"[(2, 8638)]",1,-0.11,-1,0.9,-1,-0.84,0,1,30,10
-0.1642123596363914,"[(0, 53); (1, 217); (2, 8368)]",0.64,-0.16,-0.91,0.77,-0.28,-0.7000000000000001,-0.07,5,20,6
-0.15076220304025664,"[(0, 78); (1, 829); (2, 7731)]",0.92,-0.1,-0.75,0.6,-0.65,-0.9400000000000001,0,1,20,6
0,"[(1, 7); (2, 8631)]",0.91,-0.03,-0.93,0.73,-0.4,-0.61,0,4,40,13
-0.07307249255213505,"[(0, 5); (1, 138); (2, 8495)]",0.6900000000000001,-0.14,-0.92,0.76,-0.29,-0.66,-0.07,4,20,6
-0.17003406920785272,"[(0, 108); (1, 314); (2, 8216)]",0.7000000000000001,-0.21,-0.92,0.8200000000000001,-0.48,-0.66,-0.08,4,10,3
-0.44566190512565884,"[(0, 177); (1, 406); (2, 8055)]",0.9400000000000001,-0.11,-0.8300000000000001,0.98,-0.67,-0.79,-0.07,6,10,3
0,"[(2, 8638)]",0.92,-0.03,-0.98,0.89,-0.01,-0.71,0,2,30,10
0,"[(2, 8638)]",0.9500000000000001,-0.21,-0.75,0.72,-0.36,-0.8200000000000001,-0.01,2,40,13
-0.003211977694599343,"[(0, 7); (1, 3); (2, 8628)]",0.6,-0.28,-0.7000000000000001,0.75,-0.35000000000000003,-0.85,0,2,10,3
-0.0014052402413872124,"[(0, 7); (1, 9); (2, 8622)]",0.6,-0.22,-0.91,0.6,0,-0.96,-0.06,1,10,3
-0.11021098464593994,"[(0, 24); (1, 22); (2, 8592)]",0.81,-0.16,-1,0.63,-0.11,-0.97,-0.06,1,10,3
-0.7317286685509128,"[(0, 242); (1, 888); (2, 7508)]",0.9,-0.16,-0.63,0.86,-0.77,-0.65,-0.09,5,10,3
0,"[(1, 126); (2, 8512)]",0.9500000000000001,-0.17,-0.98,0.71,-0.5700000000000001,-0.98,-0.07,1,20,6
0,"[(1, 12); (2, 8626)]",0.91,-0.03,-0.93,0.73,-0.4,-0.61,0,4,40,13
0,"[(2, 8638)]",1,-0.11,-1,0.9,-1,-0.84,0,1,30,10
-0.20375983500114583,"[(0, 8); (1, 18); (2, 8612)]",0.9500000000000001,-0.21,-0.75,0.72,-0.36,-0.8200000000000001,-0.01,2,40,13
0,"[(1, 13); (2, 8625)]",0.9500000000000001,-0.17,-0.98,0.71,-0.5700000000000001,-0.98,-0.07,1,20,6
0,"[(1, 74); (2, 8564)]",1,-0.18,-0.9,0.7000000000000001,0,-0.85,-0.06,1,20,6
0,"[(1, 31); (2, 8607)]",0.71,-0.3,-0.86,0.62,-0.09,-0.65,-0.04,2,50,16
0,"[(2, 8638)]",0.64,-0.13,-0.76,0.67,-0.19,-0.85,-0.01,1,20,6
0,"[(1, 1); (2, 8637)]",0.89,-0.15,-0.89,0.62,-0.1,-0.89,-0.01,5,30,10
0,"[(1, 11); (2, 8627)]",0.92,-0.03,-0.98,0.89,-0.01,-0.71,0,2,30,10
-0.23608036055305168,"[(0, 40); (1, 112); (2, 8486)]",1,-0.18,-0.9,0.7000000000000001,0,-0.85,-0.06,1,20,6
0.22885341074020318,"[(0, 20); (1, 35); (2, 8583)]",1,-0.15,-1,0.63,-1,-1,-0.03,1,10,3
-0.0889316324192193,"[(0, 49); (1, 103); (2, 8486)]",0.77,-0.3,-0.64,0.77,-0.2,-0.8200000000000001,-0.04,1,20,6
-0.27281735543503166,"[(0, 110); (1, 226); (2, 8302)]",0.62,-0.27,-0.73,0.7000000000000001,-0.3,-1,-0.05,2,10,3
0,"[(1, 12); (2, 8626)]",0.92,0,-0.91,0.79,0,-0.77,0,2,30,10
-0.43823420670689783,"[(0, 233); (1, 488); (2, 7917)]",1,-0.17,-0.67,0.73,-0.84,-0.65,-0.09,3,10,3
0,"[(2, 8638)]",1,0,-0.7000000000000001,0.6,-0.68,-0.9400000000000001,0,3,40,13
0.012044916354747536,"[(0, 8); (1, 43); (2, 8587)]",0.6,-0.17,-0.92,0.68,-0.29,-0.74,-0.07,4,10,3
-0.15337193491711862,"[(0, 64); (1, 215); (2, 8359)]",0.6,-0.22,-0.84,0.6,0,-0.75,-0.1,4,10,3
-0.041554961423878996,"[(0, 16); (1, 109); (2, 8513)]",0.8,-0.17,-0.84,0.79,-0.35000000000000003,-0.6,-0.05,5,10,3
-0.003211977694599343,"[(0, 1); (1, 1); (2, 8636)]",1,0,-0.89,0.62,0,-0.93,0,5,30,10
-0.22463769001604153,"[(0, 68); (1, 102); (2, 8468)]",0.84,-0.11,-0.88,0.6,-0.4,-0.84,-0.07,7,10,3
0,"[(1, 3); (2, 8635)]",0.65,-0.07,-1,0.6,-0.37,-1,-0.04,1,30,10
-0.03493025742876785,"[(0, 56); (1, 383); (2, 8199)]",0.7000000000000001,-0.2,-0.79,0.85,-0.12,-0.73,-0.08,2,10,3
-0.2902824841494156,"[(0, 55); (1, 70); (2, 8513)]",0.9,0,-0.86,0.67,-0.24,-1,-0.06,4,50,16
-0.07688671606447177,"[(0, 23); (1, 95); (2, 8520)]",0.73,-0.19,-0.87,0.9,-0.17,-0.77,-0.07,4,10,3
-0.35994225040103883,"[(0, 85); (1, 368); (2, 8185)]",0.66,-0.13,-0.73,0.78,-0.42,-0.73,-0.07,4,10,3
-0.3631542280956382,"[(0, 221); (1, 776); (2, 7641)]",1,-0.13,-0.72,0.63,-0.54,-1,-0.1,1,10,3
0,"[(2, 8638)]",0.7000000000000001,-0.13,-0.91,0.63,-0.35000000000000003,-0.8200000000000001,0,2,30,10
0,"[(1, 1); (2, 8637)]",0.89,-0.15,-0.89,0.62,-0.1,-0.89,-0.01,5,30,10
-0.010639676113360324,"[(0, 10); (1, 107); (2, 8521)]",0.76,-0.07,-0.92,0.92,-0.34,-0.72,-0.07,4,10,3
-0.13891803529142158,"[(0, 48); (1, 165); (2, 8425)]",0.79,-0.14,-0.72,0.87,-0.41000000000000003,-0.67,-0.05,5,10,3
